Gender :,Age:,Graduation Year :,Program Code :,Current Occupation :,Job category :,Department :,Company Name,Type of Company :,Company's nature of business :,Years of work experience (after graduation):,Current Salary Midpoint
Male,26,2014,CS221,Banker,Executive,Credit Management,Agrobank,GLC,Bank for agriculture business,3,3500.5
Male,26,2017,CS253,PI1M Kg Tanah Hitam Manager,Manager,Pelaksana,MSD Digital Intelligent,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,1,1500
Female,25,2016,CS110 ,Web developer ,Executive,Ecommerce,PETSMORE SDN BHD,Private Limited Company(Syarikat Sendirian Berhad,Services,2,2500.5
Male,26,2016,CS241,Permanent,Executive,Technical,Statworks (M) Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Customer Services,2,2500.5
Male,24,2017,CS245,Network Planner,Non Executive,OSP Planning,Digi Telecommunication,Private Limited Company(Syarikat Sendirian Berhad,Telecommunication,1,3500.5
Female,24,2017,CS241,Data Analytic,Executive,Human Capital,Etiqa Insurance Berhad,Private Limited Company(Syarikat Sendirian Berhad,Insurance,1,3500.5
Female,25,2016,CS241,Finance executive,Executive,Finance department,FTMS College,Corporate(Koperasi),Education,1,2500.5
Female,27,2017,CS221,Lecturer,Education,FSKM,UiTm Shah Alam,PTFT Lecturer,Education,1,2500.5
Male,30,2012,CS226,Executive,Executive,Enterprise project management office,PETRONAS,Corporate(Koperasi),Oil and gas,6,7500.5
Female,25,2015,CS222 ,Trade Analyst,Executive,North America Trade,Citigroup Transaction Services (M) Sdn. Bhd.,Private Limited Company(Syarikat Sendirian Berhad,Services,2,3500.5
Female,24,2017,CS249 ,Cashiet, Staff,Finance,Billion Mart (Cawangan Bachok),Shopping Mall,Consumer Trading,1,1500
Male,29,2012,CS110,Programmer,Executive,Information & communications technology services,Asia e University,Private Limited Company(Syarikat Sendirian Berhad,Education,5,1500
Female,24,2016,CS230,System Analyst,Executive,Information Technology,USIM Tijarah Holding,Private Limited Company(Syarikat Sendirian Berhad,Services,1,2500.5
Male,27,2012,CS251,Software Programmer,Executive,EMV,DZCard(M) Sdn. Bhd.,Private Limited Company(Syarikat Sendirian Berhad,Manufacturing,4,3500.5
Female,27,2013,CS226,SAP Analyst,Executive,IT,Panasonic Air-Conditioning Malaysia,Private Limited Company(Syarikat Sendirian Berhad,Manufacturing,3,4500.5
Male,28,2012,CS251,Software Developer,Executive,Software Department,BIT Group Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,4,3500.5
Male,32,2010,CS227,Senior Executive,Executive,Sustainability & Quality Mgt.,Sime Darby Property,GLC,Property Developer,5,4500.5
Female,28,2013,CS226,Qa supervisor,Executive,Quality assurance,Yokowo,Private Limited Company(Syarikat Sendirian Berhad,Manufacturing,4,2500.5
Female,26,2015,CS244 ,Software Engineer,Non Executive,IT,Lighthouse Technology Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,2,2500.5
Male,27,2002,CS226 ,Automation Test Lead,Executive,IT department,Kumpulan Wang Simpanan Pekerja,Statutory Body(Badan Berkanun),Financial Institution,5,7500.5
Male,28,2013,CS230,Automation Engineer,Executive,IT,Texas Instruments Malaysia,Private Limited Company(Syarikat Sendirian Berhad,Manufacturing,5,7500.5
Female,27,2013,CS231,APPLICATION CONSULTANT,Executive,IMPLEMENTATION,SV SOLUTION CENTRIC SDN BHD,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,3,2500.5
Female,31,2010,CS246,QA analyst,Executive,digital services unit,star media group berhad,berhad,Media and Broadcasting,7,4500.5
Female,27,2013,CS225,TECHNICAL EXECUTIVE,Executive,SUPPORT INFRA (SERVER),FELDA PRODATA SYSTEMS SDN BHD,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,3,2500.5
Female,25,2014,CS110,Pembantu tadbir,Pembantu tadbir,Khidmat pelanggan,Lhdn seremban,Statutory Body(Badan Berkanun),Customer Services,3,1500
Female,29,2010,CS110,Gov servant,Non Executive,HR,KKM,GOV,Hospitality,7,2500.5
Female,25,2017,CS243,web and mobile developer,junior developer,it development,dhriti-solution sdn bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,1,1500
Female,25,2013,CS113,Lab assistant,Staff,Sekolah,Smk seri bintang,Kerajaan ,Education,4,1500
Male,27,2013,CS110 ,Pembantu perangkaan,Non Executive,Economic,Department of statistic Malaysia,Government,Services,3,2500.5
Female,30,2011,CS220,Project Management Assistant,Executive,Shared Services,IBM CIC (Malaysia) Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,5,4500.5
Female,25,2017,CS248 ,Admin ,Asisstant,Admin,Simwork Solution Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Trading,1,2500.5
Male,27,2014,CS230,"Specialist, Application Development",Executive,IT,Sime Darby Berhad,Statutory Body(Badan Berkanun),Services,3,2500.5
Female,31,2012,CS248,Banker,Executive,Asset services,HSBC,Banking,Banking,4,4500.5
Female,29,2016,CS225,engineer,Executive,NOC,Sapura,Private Limited Company(Syarikat Sendirian Berhad,Telecommunication,1,3500.5
Male,29,2012,CS221,Software Test Engineer,Executive,Information Technology,Warner Chappell Music Malaysia,Corporate(Koperasi),Music,6,7500.5
Male,31,2011,CS230,programmer,Manager,ICT,GOvt Own COmp,GOC,Rakyat,5,2500.5
Female,27,2014,CS773,Data Collection & Processing Officer,Executive,Quality and Technical Document Management,PDC Premier,Holding,Development,2,2500.5
Female,25,2013,CS110,administrative assistant,Non Executive,finance,kolej universiti islam melaka,Statutory Body(Badan Berkanun),Education,4,1500
Female,25,2016,CS230,Software QA Engineer,Software QA Engineer,IT,Intel Microelectronics Sdn Bhd,Private Limited Company(Syarikat Sendirian Berhad,Manufacturing,2,3500.5
Female,29,2012,CS247,Software Engineer,Executive,Software Development,Brilliance Information,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,5,3500.5
Male,26,2014,CS110,php developer,Non Executive,it,konzept branding sdn bhd,Partnership(Perkongsian),Information Technology,4,3500.5
Female,28,2013,CS113,EXECUTIVE,Executive,PROCUREMENT,FELCRA PLANTATION SERVICES SDN BHD,GLC,PLANTATION ,4,2500.5
Male,28,2012,CS230,Developer,Executive,Digital IT Delivery,RHB Bank,Berhad,Banking,4,4500.5
Male,26,2014,CS230,programmer,Executive,Software Development,Multimedia Consulting SDN BHD,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,2,2500.5
Male,31,2007,CS110,System Developer,Executive,Special Project,Celcom Axiata Bhd,Corporate(Koperasi),Telecommunication,7,4500.5
Male,34,2004,CS110,Senior Lecturer,Executive,Social Science,UPM Bintulu,Statutory Body(Badan Berkanun),Education,6,7500.5
Male,26,2014,CS110,Network Engineer,Executive,IT-Technical,Bright Nexus,Private Limited Company(Syarikat Sendirian Berhad,Information Technology,3,2500.5
Male,28,2013,CS225,IT Executive,Executive,Operation,Cosmopoint Sdn. Bhd.,Private Limited Company(Syarikat Sendirian Berhad,Education,4,3500.5
